"Abrantes";34351
"Águeda";46134
"Aguiar da Beira";5228
"Alandroal";5007
"Albergaria-a-Velha";24841
"Albufeira";44158
"Alcácer do Sal";11125
"Alcanena";12478
"Alcobaça";54981
"Alcochete";19148
"Alcoutim";2521
"Alenquer";44428
"Alfândega da Fé";4321
"Alijó";10492
"Aljezur";6046
"Aljustrel";8879
"Almada";177400
"Almeida";5882
"Almeirim";22033
"Almodôvar";6709
"Alpiarça";6986
"Alter do Chão";3046
"Alvaiázere";6227
"Alvito";2276
"Amadora";171719
"Amarante";52131
"Amares";18591
"Anadia";27542
"Angra do Heroísmo";33829
"Ansião";11632
"Arcos de Valdevez";20729
"Arganil";11067
"Armamar";5680
"Arouca";21154
"Arraiolos";6606
"Arronches";2789
"Arruda dos Vinhos";13983
"Aveiro";80880
"Avis";3813
"Azambuja";21421
"Baião";17527
"Barcelos";116777
"Barrancos";1435
"Barreiro";78362
"Batalha";15553
"Beja";33401
"Belmonte";6204
"Benavente";29747
"Bombarral";12743
"Borba";6428
"Boticas";5002
"Braga";193333
"Bragança";34580
"Cabeceiras de Basto";15566
"Cadaval";13382
"Caldas da Rainha";50898
"Calheta (Açores)";3441
"Calheta (Madeira)";10913
"Câmara de Lobos";32175
"Caminha";15828
"Campo Maior";8045
"Cantanhede";34218
"Carrazeda de Ansiães";5494
"Carregal do Sal";9048
"Cartaxo";23211
"Cascais";214134
"Castanheira de Pêra";2647
"Castelo Branco";52272
"Castelo de Paiva";15597
"Castelo de Vide";3121
"Castro Daire";13753
"Castro Marim";6434
"Castro Verde";6878
"Celorico da Beira";6582
"Celorico de Basto";17666
"Chamusca";8536
"Chaves";37623
"Cinfães";17747
"Coimbra";140796
"Condeixa-a-Nova";16733
"Constância";3801
"Coruche";17375
"Corvo";386
"Covilhã";46453
"Crato";3225
"Cuba";4374
"Elvas";20753
"Entroncamento";20140
"Espinho";31027
"Esposende";35145
"Estarreja";26229
"Estremoz";12688
"Évora";53568
"Fafe";48502
"Faro";67566
"Felgueiras";55883
"Ferreira do Alentejo";7676
"Ferreira do Zêzere";7803
"Figueira da Foz";58982
"Figueira de Castelo Rodrigo";5150
"Figueiró dos Vinhos";5296
"Fornos de Algodres";4398
"Freixo de Espada à Cinta";3215
"Fronteira";2856
"Funchal";105919
"Fundão";26521
"Gavião";3398
"Góis";3806
"Golegã";5400
"Gondomar";164255
"Gouveia";12221
"Grândola";13827
"Guarda";40155
"Guimarães";156852
"Horta";14356
"Idanha-a-Nova";8340
"Ílhavo";39241
"Lagoa";23718
"Lagos";33514
"Lajes das Flores";1408
"Lajes do Pico";4342
"Lamego";24348
"Leiria";128640
"Lisboa";544851
"Loulé";72373
"Loures";201646
"Lourinhã";26261
"Lousã";17012
"Lousada";47401
"Mação";6417
"Macedo de Cavaleiros";14252
"Machico";19167
"Madalena";6332
"Mafra";86523
"Maia";134959
"Mangualde";18294
"Manteigas";2909
"Marco de Canaveses";49563
"Marinha Grande";39033
"Marvão";3023
"Matosinhos";172669
"Mealhada";19358
"Mêda";4632
"Melgaço";7776
"Mértola";6205
"Mesão Frio";3555
"Mira";12126
"Miranda do Corvo";12014
"Miranda do Douro";6466
"Mirandela";21389
"Mogadouro";8304
"Moimenta da Beira";9411
"Moita";66326
"Monção";17829
"Monchique";5465
"Mondim de Basto";6416
"Monforte";2990
"Montalegre";9279
"Montemor-o-Novo";15803
"Montemor-o-Velho";24587
"Montijo";55732
"Mora";4128
"Mortágua";8960
"Moura";13267
"Mourão";2353
"Murça";5249
"Murtosa";10488
"Nazaré";14889
"Nelas";13124
"Nisa";5951
"Nordeste";4373
"Óbidos";11940
"Odemira";29523
"Odivelas";148156
"Oeiras";171802
"Oleiros";4900
"Olhão";44639
"Oliveira de Azeméis";66212
"Oliveira de Frades";9510
"Oliveira do Bairro";23150
"Oliveira do Hospital";19421
"Ourém";44576
"Ourique";4842
"Ovar";54976
"Paços de Ferreira";55623
"Palmela";68879
"Pampilhosa da Serra";4067
"Paredes";84414
"Paredes de Coura";8636
"Pedrógão Grande";3392
"Penacova";13119
"Penafiel";69687
"Penalva do Castelo";7340
"Penamacor";4764
"Penedono";2731
"Penela";5443
"Peniche";26419
"Peso da Régua";14553
"Pinhel";8099
"Pombal";51178
"Ponta Delgada";67287
"Ponta do Sol";8367
"Ponte da Barca";11058
"Ponte de Lima";41204
"Ponte de Sor";15253
"Portalegre";22368
"Portel";5745
"Portimão";59896
"Porto";231962
"Porto de Mós";23211
"Porto Moniz";2521
"Porto Santo";5158
"Póvoa de Lanhoso";21787
"Póvoa de Varzim";64320
"Povoação";5796
"Praia da Vitória";19482
"Proença-a-Nova";7147
"Redondo";6287
"Reguengos de Monsaraz";9875
"Resende";10053
"Ribeira Brava";12696
"Ribeira de Pena";5887
"Ribeira Grande";31414
"Rio Maior";21021
"Sabrosa";5556
"Sabugal";11281
"Salvaterra de Magos";21632
"Santa Comba Dão";10642
"Santa Cruz";42262
"Santa Cruz da Graciosa";4095
"Santa Cruz das Flores";2021
"Santa Maria da Feira";136720
"Santa Marta de Penaguião";6104
"Santana";6558
"Santarém";58770
"Santiago do Cacém";27801
"Santo Tirso";67785
"São Brás de Alportel";11266
"São João da Madeira";22162
"São João da Pesqueira";6780
"São Pedro do Sul";15139
"São Roque do Pico";3221
"São Vicente";4874
"Sardoal";3526
"Sátão";11026
"Seia";21759
"Seixal";166693
"Sernancelhe";5713
"Serpa";13768
"Sertã";14748
"Sesimbra";52465
"Setúbal";123684
"Sever do Vouga";11069
"Silves";37813
"Sines";14214
"Sintra";385954
"Sobral de Monte Agraço";10542
"Soure";17264
"Sousel";4358
"Tábua";11163
"Tabuaço";5039
"Tarouca";7374
"Tavira";27536
"Terras de Bouro";6359
"Tomar";36444
"Tondela";25939
"Torre de Moncorvo";6822
"Torres Novas";34149
"Torres Vedras";83130
"Trancoso";8419
"Trofa";38612
"Vagos";22905
"Vale de Cambra";21279
"Valença";13634
"Valongo";94795
"Valpaços";14714
"Velas";4940
"Vendas Novas";11240
"Viana do Alentejo";5323
"Viana do Castelo";85864
"Vidigueira";5177
"Vieira do Minho";11970
"Vila de Rei";3276
"Vila do Bispo";5722
"Vila do Conde";80921
"Vila do Porto";5414
"Vila Flor";6064
"Vila Franca de Xira";137659
"Vila Franca do Campo";10326
"Vila Nova da Barquinha";7035
"Vila Nova de Cerveira";8930
"Vila Nova de Famalicão";133590
"Vila Nova de Foz Côa";6304
"Vila Nova de Gaia";304149
"Vila Nova de Paiva";4660
"Vila Nova de Poiares";6813
"Vila Pouca de Aguiar";11825
"Vila Real";49623
"Vila Real de Santo António";18828
"Vila Velha de Ródão";3287
"Vila Verde";46474
"Vila Viçosa";7385
"Vimioso";4154
"Vinhais";7772
"Viseu";99693
"Vizela";23903
"Vouzela";9588
